Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 👆🏻, Идентификатор: :backhand_index_pointing_up_light_skin_tone:
Эмодзи: 👆🏾, Идентификатор: :backhand_index_pointing_up_medium-dark_skin_tone:
Эмодзи: 👆🏼, Идентификатор: :backhand_index_pointing_up_medium-light_skin_tone:
Эмодзи: 👆🏽, Идентификатор: :backhand_index_pointing_up_medium_skin_tone:
Эмодзи: 🎒, Идентификатор: :backpack:
Эмодзи: 🥓, Идентификатор: :bacon:
Эмодзи: 🦡, Идентификатор: :badger:
Эмодзи: 🏸, Идентификатор: :badminton:
Эмодзи: 🥯, Идентификатор: :bagel:
Эмодзи: 🛄, Идентификатор: :baggage_claim:
Эмодзи: 🥖, Идентификатор: :baguette_bread:
Эмодзи: ⚖️, Идентификатор: :balance_scale:
Эмодзи: ⚖, Идентификатор: :balance_scale:
Эмодзи: 🦲, Идентификатор: :bald:
Эмодзи: 🩰, Идентификатор: :ballet_shoes:
Эмодзи: 🎈, Идентификатор: :balloon:
Эмодзи: 🗳️, Идентификатор: :ballot_box_with_ballot:
Эмодзи: 🗳, Идентификатор: :ballot_box_with_ballot:
Эмодзи: 🍌, Идентификатор: :banana:
Эмодзи: 🪕, Идентификатор: :banjo:
Эмодзи: 🏦, Идентификатор: :bank:
Эмодзи: 📊, Идентификатор: :bar_chart:
Эмодзи: 💈, Идентификатор: :barber_pole:
Эмодзи: ⚾, Идентификатор: :baseball:
Эмодзи: 🧺, Идентификатор: :basket:
Эмодзи: 🏀, Идентификатор: :basketball:
Эмодзи: 🦇, Идентификатор: :bat:
Эмодзи: 🛁, Идентификатор: :bathtub:
Эмодзи: 🔋, Идентификатор: :battery:
Эмодзи: 🏖️, Идентификатор: :beach_with_umbrella:
Эмодзи: 🏖, Идентификатор: :beach_with_umbrella:
Эмодзи: 😁, Идентификатор: :beaming_face_with_smiling_eyes:
Эмодзи: 🫘, Идентификатор: :beans:
Эмодзи: 🐻, Идентификатор: :bear:
Эмодзи: 💓, Идентификатор: :beating_heart:
Эмодзи: 🦫, Идентификатор: :beaver:
Эмодзи: 🛏️, Идентификатор: :bed:
Эмодзи: 🛏, Идентификатор: :bed:
Эмодзи: 🍺, Идентификатор: :beer_mug:
Эмодзи: 🪲, Идентификатор: :beetle:
Эмодзи: 🔔, Идентификатор: :bell:
Эмодзи: 🫑, Идентификатор: :bell_pepper:
Эмодзи: 🔕, Идентификатор: :bell_with_slash:
Эмодзи: 🛎️, Идентификатор: :bellhop_bell:
Эмодзи: 🛎, Идентификатор: :bellhop_bell:
Эмодзи: 🍱, Идентификатор: :bento_box:
Эмодзи: 🧃, Идентификатор: :beverage_box:
Эмодзи: 🚲, Идентификатор: :bicycle:
Эмодзи: 👙, Идентификатор: :bikini:
Эмодзи: 🧢, Идентификатор: :billed_cap:
Эмодзи: ☣️, Идентификатор: :biohazard:
Эмодзи: ☣, Идентификатор: :biohazard:
Эмодзи: 🐦, Идентификатор: :bird:
Эмодзи: 🎂, Идентификатор: :birthday_cake:
Эмодзи: 🦬, Идентификатор: :bison:
Эмодзи: 🫦, Идентификатор: :biting_lip:
Эмодзи: 🐦‍⬛, Идентификатор: :black_bird:
Эмодзи: 🐈‍⬛, Идентификатор: :black_cat:
Эмодзи: ⚫, Идентификатор: :black_circle:
Эмодзи: 🏴, Идентификатор: :black_flag:
Эмодзи: 🖤, Идентификатор: :black_heart:
Эмодзи: ⬛, Идентификатор: :black_large_square:
Эмодзи: ◾, Идентификатор: :black_medium-small_square:
Эмодзи: ◼️, Идентификатор: :black_medium_square:
Эмодзи: ◼, Идентификатор: :black_medium_square:
Эмодзи: ✒️, Идентификатор: :black_nib:
Эмодзи: ✒, Идентификатор: :black_nib:
Эмодзи: ▪️, Идентификатор: :black_small_square:
Эмодзи: ▪, Идентификатор: :black_small_square:
Эмодзи: 🔲, Идентификатор: :black_square_button:
Эмодзи: 🌼, Идентификатор: :blossom:
Эмодзи: 🐡, Идентификатор: :blowfish:
Эмодзи: 📘, Идентификатор: :blue_book:
Эмодзи: 🔵, Идентификатор: :blue_circle:
Эмодзи: 💙, Идентификатор: :blue_heart:
Эмодзи: 🟦, Идентификатор: :blue_square:
Эмодзи: 🫐, Идентификатор: :blueberries:
Эмодзи: 🐗, Идентификатор: :boar:
Эмодзи: 💣, Идентификатор: :bomb:
Эмодзи: 🦴, Идентификатор: :bone:
Эмодзи: 🔖, Идентификатор: :bookmark:
Эмодзи: 📑, Идентификатор: :bookmark_tabs:
Эмодзи: 📚, Идентификатор: :books:
Эмодзи: 🪃, Идентификатор: :boomerang:
Эмодзи: 🍾, Идентификатор: :bottle_with_popping_cork:
Эмодзи: 💐, Идентификатор: :bouquet:
Эмодзи: 🏹, Идентификатор: :bow_and_arrow:
Эмодзи: 🥣, Идентификатор: :bowl_with_spoon:
Эмодзи: 🎳, Идентификатор: :bowling:
Эмодзи: 🥊, Идентификатор: :boxing_glove:
Эмодзи: 👦, Идентификатор: :boy:
Эмодзи: 👦🏿, Идентификатор: :boy_dark_skin_tone:
Эмодзи: 👦🏻, Идентификатор: :boy_light_skin_tone:
Эмодзи: 👦🏾, Идентификатор: :boy_medium-dark_skin_tone:
Эмодзи: 👦🏼, Идентификатор: :boy_medium-light_skin_tone:
Эмодзи: 👦🏽, Идентификатор: :boy_medium_skin_tone:
Эмодзи: 🧠, Идентификатор: :brain:
Эмодзи: 🍞, Идентификатор: :bread:
Эмодзи: 🤱, Идентификатор: :breast-feeding:
Эмодзи: 🤱🏿, Идентификатор: :breast-feeding_dark_skin_tone:
Эмодзи: 🤱🏻, Идентификатор: :breast-feeding_light_skin_tone:
Эмодзи: 🤱🏾, Идентификатор: :breast-feeding_medium-dark_skin_tone:
Эмодзи: 🤱🏼, Идентификатор: :breast-feeding_medium-light_skin_tone:
Эмодзи: 🤱🏽, Идентификатор: :breast-feeding_medium_skin_tone:
Эмодзи: 🧱, Идентификатор: :brick:
Эмодзи: 🌉, Идентификатор: :bridge_at_night:
Эмодзи: 💼, Идентификатор: :briefcase:
Эмодзи: 🩲, Идентификатор: :briefs:
Эмодзи: 🔆, Идентификатор: :bright_button:
Эмодзи: 🥦, Идентификатор: :broccoli:
Эмодзи: ⛓️‍💥, Идентификатор: :broken_chain:
Эмодзи: ⛓‍💥, Идентификатор: :broken_chain:
Эмодзи: 💔, Идентификатор: :broken_heart:
Эмодзи: 🧹, Идентификатор: :broom:
Эмодзи: 🟤, Идентификатор: :brown_circle:
Эмодзи: 🤎, Идентификатор: :brown_heart:
Эмодзи: 🍄‍🟫, Идентификатор: :brown_mushroom:
Эмодзи: 🟫, Идентификатор: :brown_square:
Эмодзи: 🧋, Идентификатор: :bubble_tea:
Эмодзи: 🫧, Идентификатор: :bubbles:
Эмодзи: 🪣, Идентификатор: :bucket:
Эмодзи: 🐛, Идентификатор: :bug:
Эмодзи: 🏗️, Идентификатор: :building_construction:
Эмодзи: 🏗, Идентификатор: :building_construction:
Эмодзи: 🚅, Идентификатор: :bullet_train:
Эмодзи: 🎯, Идентификатор: :bullseye:
Эмодзи: 🌯, Идентификатор: :burrito:
Эмодзи: 🚌, Идентификатор: :bus:
Эмодзи: 🚏, Идентификатор: :bus_stop:
Эмодзи: 👤, Идентификатор: :bust_in_silhouette:
Эмодзи: 👥, Идентификатор: :busts_in_silhouette:
Эмодзи: 🧈, Идентификатор: :butter:
Эмодзи: 🦋, Идентификатор: :butterfly:
Эмодзи: 🌵, Идентификатор: :cactus:
Эмодзи: 📅, Идентификатор: :calendar:
Эмодзи: 🤙, Идентификатор: :call_me_hand:
Эмодзи: 🤙🏿, Идентификатор: :call_me_hand_dark_skin_tone:
Эмодзи: 🤙🏻, Идентификатор: :call_me_hand_light_skin_tone:
Эмодзи: 🤙🏾, Идентификатор: :call_me_hand_medium-dark_skin_tone:
Эмодзи: 🤙🏼, Идентификатор: :call_me_hand_medium-light_skin_tone:
Эмодзи: 🤙🏽, Идентификатор: :call_me_hand_medium_skin_tone:
Эмодзи: 🐪, Идентификатор: :camel:
Эмодзи: 📷, Идентификатор: :camera:
Эмодзи: 📸, Идентификатор: :camera_with_flash:
Эмодзи: 🏕️, Идентификатор: :camping:
Эмодзи: 🏕, Идентификатор: :camping:
Эмодзи: 🕯️, Идентификатор: :candle:
Эмодзи: 🕯, Идентификатор: :candle:
Эмодзи: 🍬, Идентификатор: :candy:
Эмодзи: 🥫, Идентификатор: :canned_food:
Эмодзи: 🛶, Идентификатор: :canoe:
Эмодзи: 🗃️, Идентификатор: :card_file_box:
Эмодзи: 🗃, Идентификатор: :card_file_box:
Эмодзи: 📇, Идентификатор: :card_index:
Эмодзи: 🗂️, Идентификатор: :card_index_dividers:
Эмодзи: 🗂, Идентификатор: :card_index_dividers:
Эмодзи: 🎠, Идентификатор: :carousel_horse:
Эмодзи: 🎏, Идентификатор: :carp_streamer:
Эмодзи: 🪚, Идентификатор: :carpentry_saw:
Эмодзи: 🥕, Идентификатор: :carrot:
Эмодзи: 🏰, Идентификатор: :castle:
Эмодзи: 🐈, Идентификатор: :cat:
Эмодзи: 🐱, Идентификатор: :cat_face:
Эмодзи: 😹, Идентификатор: :cat_with_tears_of_joy:
Эмодзи: 😼, Идентификатор: :cat_with_wry_smile:
Эмодзи: ⛓️, Идентификатор: :chains:
Эмодзи: ⛓, Идентификатор: :chains:
Эмодзи: 🪑, Идентификатор: :chair:
Эмодзи: 📉, Идентификатор: :chart_decreasing:
Эмодзи: 📈, Идентификатор: :chart_increasing:
Эмодзи: 💹, Идентификатор: :chart_increasing_with_yen:
Эмодзи: ☑️, Идентификатор: :check_box_with_check:
Эмодзи: ☑, Идентификатор: :check_box_with_check:
Эмодзи: ✔️, Идентификатор: :check_mark:
Эмодзи: ✔, Идентификатор: :check_mark:
Эмодзи: ✅, Идентификатор: :check_mark_button:
Эмодзи: 🧀, Идентификатор: :cheese_wedge:
Эмодзи: 🏁, Идентификатор: :chequered_flag:
Эмодзи: 🍒, Идентификатор: :cherries:
Эмодзи: 🌸, Идентификатор: :cherry_blossom:
Эмодзи: ♟️, Идентификатор: :chess_pawn:
Эмодзи: ♟, Идентификатор: :chess_pawn:
Эмодзи: 🌰, Идентификатор: :chestnut:
Эмодзи: 🐔, Идентификатор: :chicken:
Эмодзи: 🧒, Идентификатор: :child:
Эмодзи: 🧒🏿, Идентификатор: :child_dark_skin_tone:
Эмодзи: 🧒🏻, Идентификатор: :child_light_skin_tone:
Эмодзи: 🧒🏾, Идентификатор: :child_medium-dark_skin_tone:
Эмодзи: 🧒🏼, Идентификатор: :child_medium-light_skin_tone:
Эмодзи: 🧒🏽, Идентификатор: :child_medium_skin_tone:
Эмодзи: 🚸, Идентификатор: :children_crossing:
Эмодзи: 🐿️, Идентификатор: :chipmunk:
Эмодзи: 🐿, Идентификатор: :chipmunk:
Эмодзи: 🍫, Идентификатор: :chocolate_bar:
Эмодзи: 🥢, Идентификатор: :chopsticks:
Эмодзи: ⛪, Идентификатор: :church:
Эмодзи: 🚬, Идентификатор: :cigarette:
Эмодзи: 🎦, Идентификатор: :cinema:
Эмодзи: Ⓜ️, Идентификатор: :circled_M:
Эмодзи: Ⓜ, Идентификатор: :circled_M:
Эмодзи: 🎪, Идентификатор: :circus_tent:
Эмодзи: 🏙️, Идентификатор: :cityscape:
Эмодзи: 🏙, Идентификатор: :cityscape:
Эмодзи: 🌆, Идентификатор: :cityscape_at_dusk:
Эмодзи: 🗜️, Идентификатор: :clamp:
Эмодзи: 🗜, Идентификатор: :clamp:
Эмодзи: 🎬, Идентификатор: :clapper_board:
Эмодзи: 👏, Идентификатор: :clapping_hands:
Эмодзи: 👏🏿, Идентификатор: :clapping_hands_dark_skin_tone:
Эмодзи: 👏🏻, Идентификатор: :clapping_hands_light_skin_tone:
Эмодзи: 👏🏾, Идентификатор: :clapping_hands_medium-dark_skin_tone:
Эмодзи: 👏🏼, Идентификатор: :clapping_hands_medium-light_skin_tone:
Эмодзи: 👏🏽, Идентификатор: :clapping_hands_medium_skin_tone:
Эмодзи: 🏛️, Идентификатор: :classical_building:
Эмодзи: 🏛, Идентификатор: :classical_building:
Эмодзи: 🍻, Идентификатор: :clinking_beer_mugs:
Эмодзи: 🥂, Идентификатор: :clinking_glasses:
Эмодзи: 📋, Идентификатор: :clipboard:
Эмодзи: 🔃, Идентификатор: :clockwise_vertical_arrows:
Эмодзи: 📕, Идентификатор: :closed_book:
Эмодзи: 📪, Идентификатор: :closed_mailbox_with_lowered_flag:
Эмодзи: 📫, Идентификатор: :closed_mailbox_with_raised_flag:
Эмодзи: 🌂, Идентификатор: :closed_umbrella:
Эмодзи: ☁️, Идентификатор: :cloud:
Эмодзи: ☁, Идентификатор: :cloud:
Эмодзи: 🌩️, Идентификатор: :cloud_with_lightning:
Эмодзи: 🌩, Идентификатор: :cloud_with_lightning:
Эмодзи: ⛈️, Идентификатор: :cloud_with_lightning_and_rain:
Эмодзи: ⛈, Идентификатор: :cloud_with_lightning_and_rain:
Эмодзи: 🌧️, Идентификатор: :cloud_with_rain:
